U:0,U:1,U:2,Points:0,Points:1,Points:2
4.4708,0.94693,-0.056907,2.629,3.332,0.41924
3.9436,0.0090816,0.00063706,0.6927,2.9082,-0.28242
3.8972,0.0813,0.0084116,1.5295,1.0879,-0.1401
3.8509,-0.058197,0.0048147,-1.4728E-07,1.6491,0.14079
0.4692,0.0016419,0.51329,-2.794,1.4498,-1.5367
4.1615,0.025833,1.1004E-05,-1.7995,2.6299,-4.561E-07
3.611,0.052943,-0.060526,-1.9342E-09,5.8464,-2.2456
0.0082491,-0.33189,-0.37583,-2.794,5.8634,2.5036
3.7093,-0.0080101,-0.03507,0.27933,1.2314,-2.4013
3.9755,0.0059749,0.018036,0.13873,2.6285,0.56571
4.3492,-0.65382,-0.8697,3.048,2.7656,2.5118
3.4685,-0.023454,-0.08465,-0.97785,2.3495,-2.6829
3.9184,0.22135,-0.0086219,-2.2131,2.9079,-0.55998
3.9826,-0.029622,0.035488,-0.13892,2.209,0.84789
5,0,0,-3.048,5.1447,-2.2457
3.759,0.005034,0.12916,-1.117,2.7686,2.4022
3.1784,-0.14352,0.15394,-1.5346,1.6506,2.2598
3.7095,0.47992,0.016595,-2.6426,5.841,0.69852
3.8057,-0.0076682,-0.0053158,0.69758,3.1877,-2.1209
2.8227,-1.6874,-0.39297,2.6429,5.841,2.0971
4.3473,0.062358,-0.029457,-1.9408,3.8833,-1.264
3.7063,0.046004,0.0036256,1.2573,1.651,-2.794
1.9219,-0.25758,0.055389,-1.8162,0,0.6985
0,0,0,-2.9256,3.8878,2.6671
3.9372,0.011657,-0.020332,0.27783,3.887,-0.84781
3.8984,0.14864,-0.0334,1.811,0.80731,0.41975
4.1186,0.50272,-0.081848,2.371,0.66475,0.6989
3.8965,0.007778,0.051606,0.13924,2.6287,1.5563
3.5217,-0.15409,0.061197,1.9562,5.2837,-2.6825
2.283,-0.35754,-0.18141,-2.475,4.6031,-0.97866
3.6455,-0.006537,0.0074881,-0.83376,4.5869,0.14057
4.4972,-0.7813,0.33925,2.6524,5.4328,-1.8193
3.8683,-0.0037941,0.0035905,0.55689,4.8667,0.42129
3.7805,0.00060589,-0.0040839,0.83816,5.985,0.41913
3.8612,-0.01384,-0.010993,0.83453,4.3064,1.2699
3.9129,-0.02026,-0.028551,0.27813,2.0692,-1.1304
3.0904,-0.3581,-0.75034,-2.6607,5.4235,-2.6801
3.9092,0.083238,-0.025673,1.9364,1.5076,0.28015
5.076,-0.27366,-0.073269,2.7928,5.1527,0.55887
3.8379,0.0065103,0.024343,0.27839,4.5865,0.986
3.9013,0.012976,0.053266,1.2505,2.629,-1.4116
4.5622,0.19,-0.038886,-2.5027,2.4931,-1.6808
4.0197,0.15532,0.052768,-0.97683,5.4261,1.1205
3.6925,0.0026483,0.015433,0.55872,5.2847,2.3996
3.9443,0.021632,0.078382,1.5262,2.4898,-1.2677
3.9868,0.08715,0.091368,-1.1165,5.1456,1.9726
3.9447,-0.022575,0.083898,-1.8093,3.3271,1.9746
4.5415,0.074551,0.37887,-2.5189,5.5662,2.5386
3.5838,-0.011047,-0.05352,-0.2794,3.4671,-2.794
3.9643,-0.072265,0.026242,1.5233,4.1657,-0.42142
3.6904,-0.0069375,0.0061396,0.69839,5.2847,2.3995
3.6799,0.014732,-0.057378,1.6764,0,0.8382
2.9355,1.7864,-0.23761,2.6427,0.25504,1.5369
3.6281,-0.18173,-0.032822,-0.97772,0.25066,-0.55897
3.9823,-0.10502,-0.0058282,-0.69418,1.7891,-0.1408
2.3796,-0.33298,0.57182,-2.3801,2.0701,2.794
2.1136,0.38916,-0.28331,-2.4757,4.4335,-1.5389
1.4788,0.31874,0.04771,2.794,3.175,-0.6985
3.2564,0.24369,-0.25908,2.4764,4.6029,1.6792
3.9745,-0.015857,0.025719,-1.5567E-07,2.3488,0.70678
4.2581,-0.007525,-0.0050009,-1.7998,2.4906,-0.28066
3.4627,-0.20251,0.11698,-1.1175,0.25051,1.9597
3.8857,-0.019985,0.11333,-0.55781,3.3275,1.98
3.7755,-0.018344,-0.01261,0.97739,3.8862,2.4022
4.2801,0.034008,0.03201,2.2181,2.3539,-0.27999
3.8152,0.013713,-0.11924,-0.69634,2.9083,-1.6972
3.6453,0.0062751,-0.014921,-0.83381,1.5091,-0.28117
3.9629,-0.080105,0.07257,-0.69742,0.94989,1.4048
3.7733,-0.011267,0.000819,0.83802,3.7465,-2.5428
3.6391,-0.015141,0.0078933,0.97788,5.7079,-2.5405
3.7986,0.0074253,-1.1437E-05,0.69837,5.8453,-3.4888E-08
3.9615,0.096366,-0.010153,1.661,1.7902,0.14031
2.406,0.21807,0.033385,-1.5367,6.096,0.4191
1.6298,0.28551,-0.054743,-1.9563,6.096,-0.6985
5.033,-0.44263,-0.48889,2.7901,4.0175,1.9599
3.9097,0.024115,0.011643,0.97151,1.7893,-0.56307
4.0454,0.035413,-0.032329,-0.83573,5.0066,-0.70166
3.7281,-0.028952,-0.012626,0.97748,4.585,2.4017
3.8275,0.0021107,-0.059052,0.13954,2.4891,-2.1211
4.3596,-0.10724,0.013174,-1.8086,0.94664,0.27993
4.9089,-0.011141,-0.0032886,-2.7913,2.2164,0.41919
3.7988,-0.010974,0.028033,-0.27822,1.5093,0.56289
3.7887,-0.066525,0.31046,2.2311,5.009,-2.2545
5.4642,0.060128,0.36625,2.9361,3.7403,-1.677
3.658,-0.16924,0.012209,1.9564,5.8458,-0.13972
3.8876,-8.3202E-06,-0.01161,0.83378,3.048,1.2722
3.8606,-0.0054818,0.013198,0.55677,1.9296,1.4128
4.065,0.089014,-0.078464,-1.2556,5.1461,-1.8298
4.9994,-0.054929,0.22963,-2.7868,5.5673,2.5271
3.9488,-0.018997,-0.0030641,0.97003,3.8868,0.14089
3.6826,-0.00058658,0.0099023,0.8382,0,-1.8162
3.9396,0.039221,-0.028874,1.2475,2.0697,0.70387
3.9276,0.021464,-0.085542,1.5272,2.4898,1.4094
3.768,0.049723,0.076744,-1.257,3.8862,2.5426
3.8228,0.12441,0.055791,-0.41896,5.7055,0.97883
3.9265,-0.22535,0.15176,2.0902,5.2903,-1.4006
3.9464,-0.099627,-0.055509,-0.69532,1.7895,-1.1286
4.7324,0.2082,0.057465,-2.6474,2.4944,1.9617
4.4117,0.031715,0.14436,-2.3712,2.3518,2.2537
4.0931,0.31611,0.021145,-1.8156,5.7063,0.69885
3.8317,5.255E-07,-0.048629,-1.796E-07,3.048,-1.132
3.2094,0.37197,0.12401,-1.8165,5.8465,2.2454
3.5766,0.036794,0.018396,0.1397,5.7058,2.794
3.8429,-0.027864,-0.036064,0.13948,0.94985,-1.123
3.8879,-0.13645,-0.070442,-0.6981,0.53024,-1.2599
1.2504,-0.48042,-0.07102,-2.3843,0.10912,-1.1176
3.3683,-0.022325,-0.14391,-1.1173,3.1877,-2.5427
3.7015,-0.029762,-8.9827E-05,0.9779,4.7244,2.794
3.74,0.046663,0.047577,1.5362,2.2098,-2.5424
3.7199,0.018815,0.0070285,0.83771,0.9508,-2.1156
5.1549,0.053926,-1.0355E-05,2.7919,3.7394,-2.767E-08
-1.0246,-0.75542,-0.047173,-2.794,6.096,-0.5588
3.7111,-0.1131,0.13706,1.8125,4.3052,-2.2587
5.291,-0.40695,0.12586,3.048,4.1622,-0.8382
3.6267,-0.038148,-0.023866,0.1397,0.67202,-2.6826
3.5247,0.13663,0.12408,1.8165,0.38929,-2.2488
3.1436,-0.23894,-0.35639,2.4808,1.4942,2.1025
3.7059,0.047873,-0.023522,1.257,1.5112,2.5424
3.8871,-0.022866,-0.047129,-1.7933E-07,3.1878,-1.132
3.6711,-0.080478,0.082691,-0.27937,0.67084,2.3986
4.9707,0.11042,0.0040996,-2.9367,2.5014,0.97796
4.1051,0.020794,0.03568,-0.83248,3.6071,0.84724
3.9977,0.13258,0.036703,-2.0772,2.9083,1.2625
4.0148,0.034203,-0.0033096,-1.5225,3.1875,-0.14057
3.9643,-0.0032059,-0.038062,-1.7356E-07,2.4887,-0.99006
3.7633,0.012756,-0.021442,1.2572,0.11096,0.55884
3.5158,0.16224,-0.15868,1.9567,0.25025,1.8183
3.6905,0.0069635,0.0061446,0.69839,0.81132,2.3996
4.1467,0.048866,-0.069776,-1.5323,3.8859,-1.9769
3.953,0.089,0.073705,-0.69769,5.286,1.4033
3.9591,-0.0099074,0.096354,-0.55717,3.4672,1.6973
3.0907,0.3651,-0.14516,2.3802,0.67272,2.794
4.1202,0.3081,-0.042883,-2.2096,4.3002,-0.69991
2.5,0,0,-3.048,4.6462,1.6764
4.5983,0.0051899,0.074597,2.5022,3.7401,-0.55936
3.3541,-0.020201,0.019933,-1.5248,1.5087,0.28062
2.4214,-0.59041,0.0024199,-2.794,3.175,0.5588
3.8185,1.4412E-05,-0.0098886,0.55782,0.94978,-1.1229
2.5,0,0,-3.048,0.23263,-0.4191
4.2886,-0.12774,0.050611,-1.9435,2.0727,1.6883
4.1979,0.096141,0.010223,-1.247,4.0263,0.42211
4.3724,0.058255,-0.051795,-1.9491,5.1498,-1.5432
3.6839,0.069238,0.1781,1.9523,1.2294,-2.2571
5,0,0,-3.048,0.51346,0.5588
3.7585,0.043018,-0.79211,-2.6605,5.1438,-2.6798
4.1555,0.027734,0.035724,-1.2488,3.6066,1.1282
3.9715,-0.008499,0.017735,1.2463,3.3273,-0.42249
3.939,-0.00083115,-0.036786,0.13901,2.4888,-1.1316
3.8406,0.0053487,0.0097041,0.55703,1.3696,1.1261
3.8159,-0.087256,0.040901,-0.13965,0.39047,0.83894
4.1327,0.34131,-0.044014,-2.2098,4.3002,-0.84002
3.9575,-0.0088502,0.017656,1.1083,3.3274,-0.56386
2.9813,1.8096,-0.089654,2.6426,0.25502,0.69852
-0.21881,0.51951,0.10247,-2.5278,6.096,1.2573
3.6776,0.14893,0.034716,-0.69838,5.8453,0.55898
3.6707,0.013037,-0.036713,0.2794,6.096,-1.5367
5.4236,0.85968,-0.23069,3.048,0.66094,1.397
3.6867,0.016921,-0.0029087,0.83806,0.8113,2.3995
4.0948,-0.0012426,0.01956,-0.69298,2.6286,0.42359
3.3592,0.0033831,0.15379,-0.97748,1.511,2.4017
2.939,0.11471,-0.17124,-0.9779,6.096,-2.0971
3.3312,-0.25232,0.035961,2.0963,5.5642,-2.794
3.8224,-0.038014,0.11972,1.6727,3.746,-2.118
3.6124,-0.077886,-0.085534,1.8156,4.8646,2.5418
3.9963,0.00095989,-0.0089247,1.5225,2.9085,0.14057
3.8657,0.021555,-0.0087497,0.83431,1.5093,0.84431
4.1904,-0.2396,-0.23421,2.358,2.6299,1.5413
2.5856,-0.34576,0.17699,-2.2132,1.6518,1.825
3.8432,0.28946,-0.08246,-1.6765,5.7066,-2.2489
5,0,0,-3.048,5.7212,-0.5588
3.6839,0.14865,0.017133,-0.69837,5.8453,0.27948
3.7624,-2.3018E-05,0.0011749,0.8382,3.048,2.794
4.1641,-0.3113,0.83468,3.0479,1.3693,-2.5129
3.94,-0.064795,-0.041228,-0.4183,0.94971,-0.84166
4.5701,0.18996,0.16569,2.5017,2.2183,-1.1192
3.8674,-0.068232,-0.034768,1.3914,5.0075,0.70108
2.977,-1.8047,-0.11041,2.6426,5.841,0.83823
3.6524,-0.0011357,-0.019547,0.9779,6.096,2.0971
3.7287,-0.045639,-0.05914,-2.4459E-08,1.7905,-2.4022
3.9856,-0.019577,0.035522,-0.1389,2.3489,0.84824
2.7263,0.21408,0.18873,-2.0847,1.5086,2.1127
3.8541,-0.0046999,0.0057925,0.55732,5.0065,0.70181
3.7506,0.0040173,0.012856,0.5587,4.1657,2.5427
3.8926,-0.013847,0.0153,-1.3124E-07,1.3693,0.42176
3.9053,0.01358,0.017193,0.41665,2.9082,0.99013
2.1463,0.13661,-0.094198,-1.397,5.9737,-2.794
3.7053,-0.021043,-0.1602,-0.83703,3.1877,-2.1207
