U:0,U:1,U:2,Points:0,Points:1,Points:2
0.0,0.0,0.0,2.8258,2.3467,0
0.0,0.0,0.0,3.3043,2.3467,0
0.0,0.0,0.0,3.7826,2.3467,0
0.0,0.0,0.0,4.2609,2.3467,0
0.0,0.0,0.0,4.7391,2.3467,0
0.0,0.0,0.0,5.2174,2.3467,0
0.0,0.0,0.0,5.6957,2.3467,0
0.0,0.0,0.0,6.1739,2.3467,0
0.0,0.0,0.0,6.6522,2.3467,0
0.0,0.0,0.0,7.1304,2.3467,0
0.0,0.0,0.0,7.6087,2.3467,0
0.0,0.0,0.0,8.087,2.3467,0
0.0,0.0,0.0,8.5652,2.3467,0
0.0,0.0,0.0,9.0435,2.3467,0
0.0,0.0,0.0,9.5217,2.3467,0
0.0,0.0,0.0,10,2.3467,0
0.0,0.0,0.0,10.478,2.3467,0
0.0,0.0,0.0,10.957,2.3467,0
0.0,0.0,0.0,11.435,2.3467,0
0.0,0.0,0.0,11.913,2.3467,0
0.0,0.0,0.0,12.391,2.3467,0
0.0,0.0,0.0,12.87,2.3467,0
0.0,0.0,0.0,13.348,2.3467,0
0.0,0.0,0.0,13.826,2.3467,0
0.0,0.0,0.0,14.304,2.3467,0
0.0,0.0,0.0,14.783,2.3467,0
0.0,0.0,0.0,15.261,2.3467,0
0.0,0.0,0.0,15.739,2.3467,0
0.0,0.0,0.0,16.217,2.3467,0
0.0,0.0,0.0,16.696,2.3467,0
0.0,0.0,0.0,17.174,2.3467,0
0.0,0.0,0.0,17.653,2.3467,0
0.0,0.0,0.0,18.134,2.3467,0
0.0,0.0,0.0,1.3849,2.3468,0
0.0,0.0,0.0,18.615,2.3468,0
0.0,0.0,0.0,0.91445,2.3469,0
0.0,0.0,0.0,19.086,2.3469,0
0.0,0.0,0.0,0.4885,2.3473,0
0.0,0.0,0.0,19.512,2.3473,0
-0.154385,0.426925,-0.514775,0.1,2.3478,0
0.635175,0.1428325,0.5356,19.9,2.3478,0
0.0,0.0,0.0,1.3849,2.8258,0
0.0,0.0,0.0,1.8661,2.8258,0
0.0,0.0,0.0,2.3467,2.8258,0
